Make,Model,Year,Engine_Ref
Mercedes-Benz,190E 2.3-16,1986,mercedes-m102-2.3-16
Chevrolet,Corvette,1997,chevrolet-ls1-5.7-vette
Chevrolet,Corvette,1998,chevrolet-ls1-5.7-vette
Chevrolet,Corvette,1999,chevrolet-ls1-5.7-vette
Chevrolet,Corvette,2000,chevrolet-ls1-5.7-vette
Chevrolet,Corvette,2001,chevrolet-ls1-5.7-vette
Chevrolet,Corvette,2002,chevrolet-ls1-5.7-vette
Chevrolet,Corvette,2003,chevrolet-ls1-5.7-vette
Chevrolet,Corvette,2004,chevrolet-ls1-5.7-vette
Chevrolet,Camaro,1998,chevrolet-ls1-5.7-fbody
Chevrolet,Camaro,1999,chevrolet-ls1-5.7-fbody
Chevrolet,Camaro,2000,chevrolet-ls1-5.7-fbody
Chevrolet,Camaro,2001,chevrolet-ls1-5.7-fbody
Chevrolet,Camaro,2002,chevrolet-ls1-5.7-fbody
Pontiac,Firebird,1998,chevrolet-ls1-5.7-fbody
Pontiac,Firebird,1999,chevrolet-ls1-5.7-fbody
Pontiac,Firebird,2000,chevrolet-ls1-5.7-fbody
Pontiac,Firebird,2001,chevrolet-ls1-5.7-fbody
Pontiac,Firebird,2002,chevrolet-ls1-5.7-fbody
Chevrolet,Corvette,2001,chevrolet-ls6-5.7
Chevrolet,Corvette,2002,chevrolet-ls6-5.7
Chevrolet,Corvette,2003,chevrolet-ls6-5.7
Chevrolet,Corvette,2004,chevrolet-ls6-5.7
Chevrolet,Corvette,2005,chevrolet-ls2-6.0
Chevrolet,Corvette,2006,chevrolet-ls2-6.0
Chevrolet,Corvette,2007,chevrolet-ls2-6.0
Pontiac,GTO,2005,chevrolet-ls2-6.0
Pontiac,GTO,2006,chevrolet-ls2-6.0
Chevrolet,Trailblazer,2006,chevrolet-ls2-6.0
Chevrolet,Trailblazer,2007,chevrolet-ls2-6.0
Chevrolet,Trailblazer,2008,chevrolet-ls2-6.0
Chevrolet,Trailblazer,2009,chevrolet-ls2-6.0
Pontiac,G8,2008,chevrolet-l76-6.0
Pontiac,G8,2009,chevrolet-l76-6.0
Chevrolet,Corvette,2008,chevrolet-ls3-6.2-vette
Chevrolet,Corvette,2009,chevrolet-ls3-6.2-vette
Chevrolet,Corvette,2010,chevrolet-ls3-6.2-vette
Chevrolet,Corvette,2011,chevrolet-ls3-6.2-vette
Chevrolet,Corvette,2012,chevrolet-ls3-6.2-vette
Chevrolet,Corvette,2013,chevrolet-ls3-6.2-vette
Chevrolet,Camaro,2010,chevrolet-ls3-6.2-camaro
Chevrolet,Camaro,2011,chevrolet-ls3-6.2-camaro
Chevrolet,Camaro,2012,chevrolet-ls3-6.2-camaro
Chevrolet,Camaro,2013,chevrolet-ls3-6.2-camaro
Chevrolet,Camaro,2014,chevrolet-ls3-6.2-camaro
Chevrolet,Camaro,2015,chevrolet-ls3-6.2-camaro
Chevrolet,Camaro,2010,chevrolet-l99-6.2
Chevrolet,Camaro,2011,chevrolet-l99-6.2
Chevrolet,Camaro,2012,chevrolet-l99-6.2
Chevrolet,Camaro,2013,chevrolet-l99-6.2
Chevrolet,Camaro,2014,chevrolet-l99-6.2
Chevrolet,Camaro,2015,chevrolet-l99-6.2
Chevrolet,Corvette,2006,chevrolet-ls7-7.0
Chevrolet,Corvette,2007,chevrolet-ls7-7.0
Chevrolet,Corvette,2008,chevrolet-ls7-7.0
Chevrolet,Corvette,2009,chevrolet-ls7-7.0
Chevrolet,Corvette,2010,chevrolet-ls7-7.0
Chevrolet,Corvette,2011,chevrolet-ls7-7.0
Chevrolet,Corvette,2012,chevrolet-ls7-7.0
Chevrolet,Corvette,2013,chevrolet-ls7-7.0
Chevrolet,Corvette,2009,chevrolet-ls9-6.2sc
Chevrolet,Corvette,2010,chevrolet-ls9-6.2sc
Chevrolet,Corvette,2011,chevrolet-ls9-6.2sc
Chevrolet,Corvette,2012,chevrolet-ls9-6.2sc
Chevrolet,Corvette,2013,chevrolet-ls9-6.2sc
Cadillac,CTS-V,2009,chevrolet-lsa-6.2sc-cts
Chevrolet,Camaro,2012,chevrolet-lsa-6.2sc-zl1
Chevrolet,Camaro,2013,chevrolet-lsa-6.2sc-zl1
Chevrolet,Camaro,2014,chevrolet-lsa-6.2sc-zl1
Chevrolet,Camaro,2015,chevrolet-lsa-6.2sc-zl1
Chevrolet,Corvette Stingray,2014,chevrolet-lt1-6.2-vette
Chevrolet,Corvette,2015,chevrolet-lt1-6.2-vette
Chevrolet,Corvette,2016,chevrolet-lt1-6.2-vette
Chevrolet,Corvette,2017,chevrolet-lt1-6.2-vette
Chevrolet,Corvette,2018,chevrolet-lt1-6.2-vette
Chevrolet,Corvette,2019,chevrolet-lt1-6.2-vette
Chevrolet,Camaro,2016,chevrolet-lt1-6.2-camaro
Chevrolet,Camaro,2017,chevrolet-lt1-6.2-camaro
Chevrolet,Camaro,2018,chevrolet-lt1-6.2-camaro
Chevrolet,Camaro,2019,chevrolet-lt1-6.2-camaro
Chevrolet,Camaro,2020,chevrolet-lt1-6.2-camaro
Chevrolet,Camaro,2021,chevrolet-lt1-6.2-camaro
Chevrolet,Camaro,2022,chevrolet-lt1-6.2-camaro
Chevrolet,Camaro,2023,chevrolet-lt1-6.2-camaro
Chevrolet,Corvette,2015,chevrolet-lt4-6.2sc
Chevrolet,Corvette,2016,chevrolet-lt4-6.2sc
Chevrolet,Corvette,2017,chevrolet-lt4-6.2sc
Chevrolet,Corvette,2018,chevrolet-lt4-6.2sc
Chevrolet,Corvette,2019,chevrolet-lt4-6.2sc
Chevrolet,Camaro,2017,chevrolet-lt4-6.2sc
Chevrolet,Camaro,2018,chevrolet-lt4-6.2sc
Chevrolet,Camaro,2019,chevrolet-lt4-6.2sc
Chevrolet,Camaro,2020,chevrolet-lt4-6.2sc
Chevrolet,Camaro,2021,chevrolet-lt4-6.2sc
Chevrolet,Camaro,2022,chevrolet-lt4-6.2sc
Chevrolet,Camaro,2023,chevrolet-lt4-6.2sc
Ford,F-150,2011,ford-ecoboost-3.5-f150
Ford,F-150,2012,ford-ecoboost-3.5-f150
Ford,F-150,2013,ford-ecoboost-3.5-f150
Ford,F-150,2014,ford-ecoboost-3.5-f150
Ford,F-150,2015,ford-ecoboost-3.5-f150
Ford,F-150,2016,ford-ecoboost-3.5-f150
Ford,Taurus,2010,ford-ecoboost-3.5-sho
Ford,Taurus,2011,ford-ecoboost-3.5-sho
Ford,Taurus,2012,ford-ecoboost-3.5-sho
Ford,Taurus,2013,ford-ecoboost-3.5-sho
Ford,Taurus,2014,ford-ecoboost-3.5-sho
Ford,Taurus,2015,ford-ecoboost-3.5-sho
Ford,Taurus,2016,ford-ecoboost-3.5-sho
Ford,Explorer,2013,ford-ecoboost-3.5-sho
Ford,Explorer,2014,ford-ecoboost-3.5-sho
Ford,Explorer,2015,ford-ecoboost-3.5-sho
Ford,F-150,2017,ford-ecoboost-3.5-f150gen2
Ford,F-150,2018,ford-ecoboost-3.5-f150gen2
Ford,F-150,2019,ford-ecoboost-3.5-f150gen2
Ford,F-150,2020,ford-ecoboost-3.5-f150gen2
Ford,F-150,2017,ford-ecoboost-3.5-raptor
Ford,F-150,2018,ford-ecoboost-3.5-raptor
Ford,F-150,2019,ford-ecoboost-3.5-raptor
Ford,F-150,2020,ford-ecoboost-3.5-raptor
Ford,GT,2018,ford-ecoboost-3.5tt-gt
Ford,GT,2019,ford-ecoboost-3.5tt-gt
Ford,GT,2020,ford-ecoboost-3.5tt-gt
Ford,GT,2021,ford-ecoboost-3.5tt-gt
Ford,GT,2022,ford-ecoboost-3.5tt-gt
Ford,F-150,2015,ford-ecoboost-2.7-gen1
Ford,F-150,2016,ford-ecoboost-2.7-gen1
Ford,F-150,2017,ford-ecoboost-2.7-gen1
Ford,F-150,2018,ford-ecoboost-2.7-gen2
Ford,F-150,2019,ford-ecoboost-2.7-gen2
Ford,F-150,2020,ford-ecoboost-2.7-gen2
Ford,Mustang,2015,ford-ecoboost-2.3-mustang
Ford,Mustang,2016,ford-ecoboost-2.3-mustang
Ford,Mustang,2017,ford-ecoboost-2.3-mustang
Ford,Focus ST,2013,ford-ecoboost-2.0-focusst
Ford,Focus,2014,ford-ecoboost-2.0-focusst
Ford,Focus,2015,ford-ecoboost-2.0-focusst
Ford,Focus,2016,ford-ecoboost-2.0-focusst
Ford,Focus,2017,ford-ecoboost-2.0-focusst
Ford,Focus,2018,ford-ecoboost-2.0-focusst
